Best solutions20,1,9651180.0,1
S0,small,"(46, 27)","(54, 35)"
S1,small,"(109, 104)","(117, 112)"
S2,small,"(83, 63)","(91, 71)"
S3,small,"(62, 36)","(70, 44)"
S4,small,"(135, 64)","(143, 72)"
S5,small,"(139, 118)","(147, 126)"
S6,small,"(82, 45)","(90, 53)"
S7,small,"(147, 94)","(155, 102)"
S8,small,"(119, 5)","(127, 13)"
S9,small,"(37, 154)","(45, 162)"
S10,small,"(149, 12)","(157, 20)"
S11,small,"(72, 136)","(80, 144)"
M0,medium,"(130, 131)","(141, 138)"
M1,medium,"(103, 73)","(114, 80)"
M2,medium,"(83, 119)","(94, 126)"
M3,medium,"(37, 101)","(48, 108)"
M4,medium,"(76, 108)","(87, 115)"
L0,large,"(83, 89)","(95, 99)"
L1,large,"(96, 23)","(108, 33)"
L2,large,"(138, 150)","(150, 160)"
20,1,9627030.0,1
S0,small,"(123, 137)","(131, 145)"
S1,small,"(34, 54)","(42, 62)"
S2,small,"(149, 157)","(157, 165)"
S3,small,"(75, 34)","(83, 42)"
S4,small,"(70, 80)","(78, 88)"
S5,small,"(81, 57)","(89, 65)"
S6,small,"(62, 41)","(70, 49)"
S7,small,"(53, 26)","(61, 34)"
S8,small,"(65, 59)","(73, 67)"
S9,small,"(112, 53)","(120, 61)"
S10,small,"(95, 113)","(103, 121)"
S11,small,"(125, 78)","(133, 86)"
M0,medium,"(48, 70)","(59, 77)"
M1,medium,"(146, 108)","(157, 115)"
M2,medium,"(136, 45)","(147, 52)"
M3,medium,"(140, 142)","(151, 149)"
M4,medium,"(73, 2)","(84, 9)"
L0,large,"(48, 133)","(60, 143)"
L1,large,"(79, 132)","(91, 142)"
L2,large,"(90, 26)","(102, 36)"
20,2,9774570.0,1
S0,small,"(120, 150)","(128, 158)"
S1,small,"(109, 60)","(117, 68)"
S2,small,"(55, 82)","(63, 90)"
S3,small,"(47, 57)","(55, 65)"
S4,small,"(101, 159)","(109, 167)"
S5,small,"(150, 66)","(158, 74)"
S6,small,"(54, 32)","(62, 40)"
S7,small,"(93, 12)","(101, 20)"
S8,small,"(82, 49)","(90, 57)"
S9,small,"(147, 46)","(155, 54)"
S10,small,"(46, 19)","(54, 27)"
S11,small,"(44, 111)","(52, 119)"
M0,medium,"(108, 135)","(119, 142)"
M1,medium,"(117, 86)","(128, 93)"
M2,medium,"(68, 67)","(79, 74)"
M3,medium,"(22, 60)","(33, 67)"
M4,medium,"(90, 90)","(101, 97)"
L0,large,"(63, 115)","(75, 125)"
L1,large,"(69, 145)","(81, 155)"
L2,large,"(138, 94)","(150, 104)"
20,1,9135540.0,1
S0,small,"(136, 142)","(144, 150)"
S1,small,"(117, 51)","(125, 59)"
S2,small,"(107, 95)","(115, 103)"
S3,small,"(140, 22)","(148, 30)"
S4,small,"(91, 63)","(99, 71)"
S5,small,"(60, 55)","(68, 63)"
S6,small,"(70, 109)","(78, 117)"
S7,small,"(73, 67)","(81, 75)"
S8,small,"(90, 137)","(98, 145)"
S9,small,"(114, 13)","(122, 21)"
S10,small,"(145, 8)","(153, 16)"
S11,small,"(68, 98)","(76, 106)"
M0,medium,"(123, 108)","(134, 115)"
M1,medium,"(95, 36)","(106, 43)"
M2,medium,"(74, 127)","(85, 134)"
M3,medium,"(41, 154)","(52, 161)"
M4,medium,"(80, 88)","(91, 95)"
L0,large,"(108, 126)","(120, 136)"
L1,large,"(35, 92)","(47, 102)"
L2,large,"(98, 159)","(110, 169)"
20,1,9589650.0,1
S0,small,"(82, 138)","(90, 146)"
S1,small,"(65, 142)","(73, 150)"
S2,small,"(36, 16)","(44, 24)"
S3,small,"(55, 133)","(63, 141)"
S4,small,"(99, 53)","(107, 61)"
S5,small,"(113, 121)","(121, 129)"
S6,small,"(132, 88)","(140, 96)"
S7,small,"(139, 8)","(147, 16)"
S8,small,"(59, 84)","(67, 92)"
S9,small,"(133, 152)","(141, 160)"
S10,small,"(71, 8)","(79, 16)"
S11,small,"(81, 20)","(89, 28)"
M0,medium,"(84, 7)","(95, 14)"
M1,medium,"(58, 105)","(69, 112)"
